name,location,price,area,bhk,price_cr,area_sqft,bhk_count,price_per_sqft
"Paryavaran Complex, Delhi, South Delhi","3 BHK Builder Floor in Paryavaran Complex, Delhi",₹90 Lac,"1,150 sqft",3 BHK,0.9,1150.0,3.0,7826.0
"CR Park, Delhi, South Delhi","4 BHK Builder Floor in CR Park, Delhi",₹7.5 Cr,"2,880 sqft",4 BHK,7.5,2880.0,4.0,26042.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹5.55 Cr,"1,872 sqft",3 BHK,5.55,1872.0,3.0,29647.0
"Kalkaji, Delhi, South Delhi","3 BHK Builder Floor in Kalkaji, Delhi",₹4.75 Cr,"1,800 sqft",3 BHK,4.75,1800.0,3.0,26389.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹9.25 Cr,"2,700 sqft",4 BHK,9.25,2700.0,4.0,34259.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹8.45 Cr,"2,700 sqft",4 BHK,8.45,2700.0,4.0,31296.0
C R Park RWA,"4 BHK Builder Floor in CR Park, Delhi",₹6.5 Cr,"2,097 sqft",4 BHK,6.5,2097.0,4.0,30997.0
"Kalkaji, Delhi, South Delhi","3 BHK Builder Floor in Kalkaji, Delhi",₹5.25 Cr,"1,800 sqft",3 BHK,5.25,1800.0,3.0,29167.0
"Saket, Delhi, South Delhi","4 BHK Builder Floor in Saket, Delhi",₹6.1 Cr,"2,300 sqft",4 BHK,6.1,2300.0,4.0,26522.0
"Sarvodaya Enclave, Delhi, South Delhi","3 BHK Builder Floor in Sarvodaya Enclave, Delhi",₹5.5 Cr,"1,800 sqft",3 BHK,5.5,1800.0,3.0,30556.0
"Block E Saket, Delhi, South Delhi","3 BHK Builder Floor in Block E Saket, Delhi",₹3.65 Cr,"1,800 sqft",3 BHK,3.65,1800.0,3.0,20278.0
RWA Saket Block G,"4 BHK Builder Floor in Saket, Delhi",₹11 Cr,"2,700 sqft",4 BHK,11.0,2700.0,4.0,40741.0
E Block RWA,"4 BHK Duplex Builder Floor in Saket, Delhi",₹7 Cr,"2,700 sqft",4 BHK,7.0,2700.0,4.0,25926.0
RWA Greater Kailash 3,"3 BHK Builder Floor in Greater Kailash 3, Delhi",₹6.22 Cr,"1,953 sqft",3 BHK,6.22,1953.0,3.0,31848.0
"Hauz Khas, Delhi, South Delhi","3 BHK Builder Floor in Hauz Khas, Delhi",₹6.81 Cr,"16,200 sqft",3 BHK,6.81,16200.0,3.0,4204.0
"Kailash Colony, Delhi, South Delhi","4 BHK Builder Floor in Kailash Colony, Delhi",₹15.1 Cr,"4,500 sqft",4 BHK,15.1,4500.0,4.0,33556.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹8.53 Cr,"2,250 sqft",3 BHK,8.53,2250.0,3.0,37911.0
"Defence Colony, South Delhi","3 BHK Builder Floor in Defence Colony, South Delhi",₹8.48 Cr,"1,953 sqft",3 BHK,8.48,1953.0,3.0,43420.0
Chattarpur Luxury Apartments,"3 BHK Builder Floor in Chattarpur, Delhi",₹52 Lac,"1,800 sqft",3 BHK,0.52,1800.0,3.0,2889.0
New Friends Colony Floors,"4 BHK Builder Floor in New Friends Colony, Delhi",₹11.5 Cr,"4,725 sqft",4 BHK,11.5,4725.0,4.0,24339.0
New Friends Colony Floors,"4 BHK Builder Floor in New Friends Colony, Delhi",₹12 Cr,"4,500 sqft",4 BHK,12.0,4500.0,4.0,26667.0
"Green Park Extension, Delhi, South Delhi","4 BHK Builder Floor in Green Park Extension, Delhi",₹14 Cr,"3,150 sqft",4 BHK,14.0,3150.0,4.0,44444.0
"Sarvodaya Enclave, Delhi, South Delhi","4 BHK Builder Floor in Sarvodaya Enclave, Delhi",₹12 Cr,"4,608 sqft",4 BHK,12.0,4608.0,4.0,26042.0
"Sarvodaya Enclave, Delhi, South Delhi","4 BHK Builder Floor in Sarvodaya Enclave, Delhi",₹9.5 Cr,"1,800 sqft",4 BHK,9.5,1800.0,4.0,52778.0
"Sarvpriya Vihar, Delhi, South Delhi","3 BHK Builder Floor in Sarvpriya Vihar, Delhi",₹6.75 Cr,"2,160 sqft",3 BHK,6.75,2160.0,3.0,31250.0
"Uday Park, Delhi, South Delhi","3 BHK Builder Floor in Uday Park, Delhi",₹7.5 Cr,"1,953 sqft",3 BHK,7.5,1953.0,3.0,38402.0
"Uday Park, Delhi, South Delhi","3 BHK Builder Floor in Uday Park, Delhi",₹6.5 Cr,"1,953 sqft",3 BHK,6.5,1953.0,3.0,33282.0
Neeti Bagh Builder Floor,"4 BHK Builder Floor in Neeti Bagh, Delhi",₹34 Cr,"7,200 sqft",4 BHK,34.0,7200.0,4.0,47222.0
"Neeti Bagh, Delhi, South Delhi","4 BHK Builder Floor in Neeti Bagh, Delhi",₹14.25 Cr,"2,925 sqft",4 BHK,14.25,2925.0,4.0,48718.0
"Neeti Bagh, Delhi, South Delhi","4 BHK Builder Floor in Neeti Bagh, Delhi",₹28 Cr,"7,200 sqft",4 BHK,28.0,7200.0,4.0,38889.0
New Friends Colony Floors,"4 BHK Builder Floor in New Friends Colony, Delhi",₹15.55 Cr,"4,500 sqft",4 BHK,15.55,4500.0,4.0,34556.0
New Friends Colony Floors,"4 BHK Builder Floor in New Friends Colony, Delhi",₹10.25 Cr,"4,725 sqft",4 BHK,10.25,4725.0,4.0,21693.0
New Friends Colony Floors,"4 BHK Builder Floor in New Friends Colony, Delhi",₹15 Cr,"4,500 sqft",4 BHK,15.0,4500.0,4.0,33333.0
New Friends Colony Floors,"4 BHK Builder Floor in New Friends Colony, Delhi",₹13.5 Cr,"4,500 sqft",4 BHK,13.5,4500.0,4.0,30000.0
New Friends Colony Floors,"4 BHK Builder Floor in New Friends Colony, Delhi",₹10.8 Cr,"4,500 sqft",4 BHK,10.8,4500.0,4.0,24000.0
"SDA, Delhi, South Delhi","4 BHK Builder Floor in SDA, Delhi",₹17 Cr,"3,744 sqft",4 BHK,17.0,3744.0,4.0,45406.0
"SDA, Delhi, South Delhi","4 BHK Builder Floor in SDA, Delhi",₹17.5 Cr,"4,050 sqft",4 BHK,17.5,4050.0,4.0,43210.0
"SDA, Delhi, South Delhi","4 BHK Builder Floor in SDA, Delhi",₹18 Cr,"4,050 sqft",4 BHK,18.0,4050.0,4.0,44444.0
"SDA, Delhi, South Delhi","4 BHK Builder Floor in SDA, Delhi",₹20 Cr,"4,680 sqft",4 BHK,20.0,4680.0,4.0,42735.0
"SDA, Delhi, South Delhi","4 BHK Builder Floor in SDA, Delhi",₹18 Cr,"4,680 sqft",4 BHK,18.0,4680.0,4.0,38462.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹15.5 Cr,"4,545 sqft",4 BHK,15.5,4545.0,4.0,34103.0
"Panchsheel Enclave, Delhi, South Delhi","3 BHK Builder Floor in Panchsheel Enclave, Delhi",₹11.5 Cr,"2,430 sqft",3 BHK,11.5,2430.0,3.0,47325.0
"Panchsheel Enclave, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Enclave, Delhi",₹12 Cr,"3,195 sqft",4 BHK,12.0,3195.0,4.0,37559.0
"Panchsheel Enclave, Delhi, South Delhi","3 BHK Builder Floor in Panchsheel Enclave, Delhi",₹6.5 Cr,"1,870 sqft",3 BHK,6.5,1870.0,3.0,34759.0
"South Extension 2, Delhi, South Delhi","4 BHK Builder Floor in South Extension 2, Delhi",₹15 Cr,"4,590 sqft",4 BHK,15.0,4590.0,4.0,32680.0
