name,location,price,area,bhk,price_cr,area_sqft,bhk_count,price_per_sqft
Comfort House,"2 BHK Flat in Ghaffar Manzil Colony, Delhi",₹95 Lac,"1,220 sqft",2 BHK,0.95,1220.0,2.0,7787.0
"Chattarpur, Delhi, South Delhi","3 BHK Builder Floor in Chattarpur, Delhi",₹80 Lac,"2,250 sqft",3 BHK,0.8,2250.0,3.0,3556.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹9.1 Cr,"2,700 sqft",4 BHK,9.1,2700.0,4.0,33704.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹10.1 Cr,"2,700 sqft",4 BHK,10.1,2700.0,4.0,37407.0
"Green Park, Delhi, South Delhi","3 BHK Builder Floor in Green Park, Delhi",₹6.52 Cr,"1,800 sqft",3 BHK,6.52,1800.0,3.0,36222.0
"Hari Nagar, Delhi, South Delhi","2 BHK Builder Floor in Hari Nagar, Delhi",₹55 Lac,855 sqft,2 BHK,0.55,855.0,2.0,6433.0
"Safdarjung Enclave, Delhi, South Delhi","4 BHK Builder Floor in Safdarjung Enclave, Delhi",₹9.25 Cr,"3,240 sqft",4 BHK,9.25,3240.0,4.0,28549.0
"Neb Valley, Delhi, South Delhi","6 Bedroom Farm house in Neb Valley, Delhi",₹30 Cr,"14,400 sqft",6 BHK,30.0,14400.0,6.0,20833.0
Godrej South Estate 4.0,"4 BHK Flat in Okhla, Delhi",₹8.4 Cr,"3,851 sqft",4 BHK,8.4,3851.0,4.0,21813.0
865 Yards Third Floor & Terrace 4BHK,"4 BHK Builder Floor in Vasant Vihar, Delhi",₹24 Cr,"7,785 sqft",4 BHK,24.0,7785.0,4.0,30829.0
"CR Park, Delhi, South Delhi","3 BHK Builder Floor in CR Park, Delhi",₹4.15 Cr,"1,440 sqft",3 BHK,4.15,1440.0,3.0,28819.0
"Defence Colony, South Delhi","3 BHK Builder Floor in Defence Colony, South Delhi",₹15 Cr,"2,925 sqft",3 BHK,15.0,2925.0,3.0,51282.0
"Om Sai Ramanand Apartment, Devli Village","1 BHK Builder Floor in Deoli, Delhi",₹21.5 Lac,"3,645 sqft",1 BHK,0.215,3645.0,1.0,590.0
Luxury First Floor,"4 BHK Builder Floor in Safdarjung Enclave, Delhi",₹7.25 Cr,"2,313 sqft",4 BHK,7.25,2313.0,4.0,31345.0
LUXURIOUS SECOND FLOOR,"4 BHK Builder Floor in Greater Kailash 2, Delhi",₹8.4 Cr,"2,700 sqft",4 BHK,8.4,2700.0,4.0,31111.0
GROUND BASEMENT,"4 BHK Triplex Builder Floor in Anand Niketan, Delhi",₹18 Cr,"3,600 sqft",4 BHK,18.0,3600.0,4.0,50000.0
"Defence Colony, South Delhi","3 BHK Builder Floor in Defence Colony, South Delhi",₹7.5 Cr,"1,953 sqft",3 BHK,7.5,1953.0,3.0,38402.0
"Sarvpriya Vihar, Delhi, South Delhi","3 BHK Builder Floor in Sarvpriya Vihar, Delhi",₹6.61 Cr,"2,124 sqft",3 BHK,6.61,2124.0,3.0,31121.0
Safdarjung Enclave Luxurious Builder Floors,"3 BHK Builder Floor in Safdarjung Enclave, Delhi",₹8.11 Cr,"2,700 sqft",3 BHK,8.11,2700.0,3.0,30037.0
"Defence Colony, South Delhi","3 BHK Builder Floor in Defence Colony, South Delhi",₹12.25 Cr,"2,925 sqft",3 BHK,12.25,2925.0,3.0,41880.0
"Green Park, Delhi, South Delhi","3 BHK Builder Floor in Green Park, Delhi",₹6.75 Cr,"1,800 sqft",3 BHK,6.75,1800.0,3.0,37500.0
"Saket, Delhi, South Delhi","4 BHK Builder Floor in Saket, Delhi",₹8.5 Cr,"2,700 sqft",4 BHK,8.5,2700.0,4.0,31481.0
"Defence Colony, South Delhi","3 BHK Builder Floor in Defence Colony, South Delhi",₹8 Cr,"2,025 sqft",3 BHK,8.0,2025.0,3.0,39506.0
"Defence Colony, South Delhi","4 BHK Builder Floor in Defence Colony, South Delhi",₹16.99 Cr,"3,600 sqft",4 BHK,16.99,3600.0,4.0,47194.0
"Hauz Khas Enclave, Delhi, South Delhi","4 BHK Builder Floor in Hauz Khas Enclave, Delhi",₹18.99 Cr,"6,030 sqft",4 BHK,18.99,6030.0,4.0,31493.0
"Hauz Khas Enclave, Delhi, South Delhi","4 BHK Builder Floor in Hauz Khas Enclave, Delhi",₹15 Cr,"4,500 sqft",4 BHK,15.0,4500.0,4.0,33333.0
Godrej South Estate 4.0,"4 BHK Flat in Okhla, Delhi",₹8.25 Cr,"3,851 sqft",4 BHK,8.25,3851.0,4.0,21423.0
"Chattarpur, Delhi, South Delhi","6 Bedroom Farm house in Chattarpur, Delhi",₹22 Cr,"14,400 sqft",6 BHK,22.0,14400.0,6.0,15278.0
"Greater Kailash, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash, Delhi",₹4.22 Cr,"1,881 sqft",3 BHK,4.22,1881.0,3.0,22435.0
"S Block Greater Kailash I, Delhi, South Delhi","3 BHK Builder Floor in S Block Greater Kailash I, Delhi",₹4.2 Cr,"1,890 sqft",3 BHK,4.2,1890.0,3.0,22222.0
"Sukhdev Vihar, Delhi, South Delhi","4 BHK Builder Floor in Sukhdev Vihar, Delhi",₹9 Cr,"4,050 sqft",4 BHK,9.0,4050.0,4.0,22222.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹6.1 Cr,"1,890 sqft",3 BHK,6.1,1890.0,3.0,32275.0
"Safdarjung Enclave, Delhi, South Delhi","4 BHK Builder Floor in Safdarjung Enclave, Delhi",₹6.8 Cr,"2,115 sqft",4 BHK,6.8,2115.0,4.0,32151.0
"Safdarjung Enclave, Delhi, South Delhi","4 BHK Builder Floor in Safdarjung Enclave, Delhi",₹6.7 Cr,"2,115 sqft",4 BHK,6.7,2115.0,4.0,31678.0
"Mandi Hills, Delhi, South Delhi","3 BHK Builder Floor in Mandi Hills, Delhi",₹75 Lac,"1,200 sqft",3 BHK,0.75,1200.0,3.0,6250.0
"Green Park, Delhi, South Delhi","4 BHK Duplex Builder Floor in Green Park, Delhi",₹12 Cr,"4,500 sqft",4 BHK,12.0,4500.0,4.0,26667.0
"Green Park, Delhi, South Delhi","4 BHK Builder Floor in Green Park, Delhi",₹9.1 Cr,"3,150 sqft",4 BHK,9.1,3150.0,4.0,28889.0
"Saket, Delhi, South Delhi","3 BHK Builder Floor in Saket, Delhi",₹6.25 Cr,"1,800 sqft",3 BHK,6.25,1800.0,3.0,34722.0
"Mandi, Delhi, South Delhi","3 BHK Builder Floor in Mandi, Delhi",₹70.23 Lac,"10,800 sqft",3 BHK,0.7023,10800.0,3.0,650.0
Tri Apartments Sheikh Sarai Phase 1,"2 BHK Flat in Sheikh Sarai, Delhi",₹2.25 Cr,"1,150 sqft",2 BHK,2.25,1150.0,2.0,19565.0
"East of Kailash, Delhi, South Delhi","3 BHK Builder Floor in East of Kailash, Delhi",₹6.75 Cr,"1,800 sqft",3 BHK,6.75,1800.0,3.0,37500.0
"CR Park, Delhi, South Delhi","4 BHK Builder Floor in CR Park, Delhi",₹8.75 Cr,"2,700 sqft",4 BHK,8.75,2700.0,4.0,32407.0
"SDA, Delhi, South Delhi","4 BHK Builder Floor in SDA, Delhi",₹12.99 Cr,"4,500 sqft",4 BHK,12.99,4500.0,4.0,28867.0
"Anand Lok, Delhi, South Delhi","4 BHK Builder Floor in Anand Lok, Delhi",₹16.21 Cr,"3,600 sqft",4 BHK,16.21,3600.0,4.0,45028.0
"Defence Colony, South Delhi","3 BHK Builder Floor in Defence Colony, South Delhi",₹11.75 Cr,"2,925 sqft",3 BHK,11.75,2925.0,3.0,40171.0
"South Extension 2, Delhi, South Delhi","4 BHK Builder Floor in South Extension 2, Delhi",₹14.75 Cr,"4,500 sqft",4 BHK,14.75,4500.0,4.0,32778.0
"South Extension 2, Delhi, South Delhi","4 BHK Builder Floor in South Extension 2, Delhi",₹13.4 Cr,"4,500 sqft",4 BHK,13.4,4500.0,4.0,29778.0
"Anand Niketan, Delhi, South Delhi","4 BHK Builder Floor in Anand Niketan, Delhi",₹15.3 Cr,"3,825 sqft",4 BHK,15.3,3825.0,4.0,40000.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Duplex Builder Floor in Greater Kailash 1, Delhi",₹15 Cr,"4,050 sqft",4 BHK,15.0,4050.0,4.0,37037.0
"Safdarjung Enclave, Delhi, South Delhi","4 BHK Builder Floor in Safdarjung Enclave, Delhi",₹9.1 Cr,"2,700 sqft",4 BHK,9.1,2700.0,4.0,33704.0
"S Block Greater Kailash I, Delhi, South Delhi","3 BHK Builder Floor in S Block Greater Kailash I, Delhi",₹7 Cr,"1,500 sqft",3 BHK,7.0,1500.0,3.0,46667.0
"Defence Colony, South Delhi","3 BHK Builder Floor in Defence Colony, South Delhi",₹14 Cr,"2,350 sqft",3 BHK,14.0,2350.0,3.0,59574.0
TERRACE FLOOR,"3 BHK Builder Floor in Panchsheel Enclave, Delhi",₹9.5 Cr,"1,650 sqft",3 BHK,9.5,1650.0,3.0,57576.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹7.9 Cr,"2,700 sqft",4 BHK,7.9,2700.0,4.0,29259.0
"Safdarjung Enclave, Delhi, South Delhi","3 BHK Builder Floor in Safdarjung Enclave, Delhi",₹6.2 Cr,"1,800 sqft",3 BHK,6.2,1800.0,3.0,34444.0
GREEN PARK MAIN,"3 BHK Builder Floor in Green Park, Delhi",₹5.85 Cr,"1,800 sqft",3 BHK,5.85,1800.0,3.0,32500.0
GK-1,"4 BHK Builder Floor in Greater Kailash 1, Delhi",₹14 Cr,"4,500 sqft",4 BHK,14.0,4500.0,4.0,31111.0
GK-2,"4 BHK Builder Floor in Greater Kailash 2, Delhi",₹15 Cr,"4,950 sqft",4 BHK,15.0,4950.0,4.0,30303.0
GK-2,"4 BHK Builder Floor in Greater Kailash 2, Delhi",₹18 Cr,"4,950 sqft",4 BHK,18.0,4950.0,4.0,36364.0
"Dera Mandi Retreat, Delhi, South Delhi","Residential land / Plot in Dera Mandi Retreat, Delhi",₹6 Cr,"9,000 sqft",Plot/Land,6.0,9000.0,,6667.0
"Block E Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Block E Greater Kailash 1, Delhi",₹8.75 Cr,"2,250 sqft",3 BHK,8.75,2250.0,3.0,38889.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹8.11 Cr,"2,700 sqft",4 BHK,8.11,2700.0,4.0,30037.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹10 Cr,"2,700 sqft",4 BHK,10.0,2700.0,4.0,37037.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹8.75 Cr,"3,060 sqft",4 BHK,8.75,3060.0,4.0,28595.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹8.5 Cr,"2,700 sqft",4 BHK,8.5,2700.0,4.0,31481.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹8 Cr,"2,700 sqft",4 BHK,8.0,2700.0,4.0,29630.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹9.99 Cr,"2,700 sqft",4 BHK,9.99,2700.0,4.0,37000.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹17.99 Cr,"4,500 sqft",4 BHK,17.99,4500.0,4.0,39978.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹16.25 Cr,"4,500 sqft",4 BHK,16.25,4500.0,4.0,36111.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹8.31 Cr,"2,799 sqft",4 BHK,8.31,2799.0,4.0,29689.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹13.25 Cr,"4,500 sqft",4 BHK,13.25,4500.0,4.0,29444.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹8.9 Cr,"3,060 sqft",4 BHK,8.9,3060.0,4.0,29085.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹8 Cr,"2,700 sqft",4 BHK,8.0,2700.0,4.0,29630.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹6.5 Cr,"2,250 sqft",3 BHK,6.5,2250.0,3.0,28889.0
"Hauz Khas Enclave, Delhi, South Delhi","4 BHK Builder Floor in Hauz Khas Enclave, Delhi",₹12.5 Cr,"2,700 sqft",4 BHK,12.5,2700.0,4.0,46296.0
"Gulmohar park, Delhi, South Delhi","4 BHK Builder Floor in Gulmohar park, Delhi",₹12 Cr,"2,700 sqft",4 BHK,12.0,2700.0,4.0,44444.0
"Gulmohar park, Delhi, South Delhi","4 BHK Builder Floor in Gulmohar park, Delhi",₹14.99 Cr,"2,700 sqft",4 BHK,14.99,2700.0,4.0,55519.0
"Shanti Niketan, Delhi, South Delhi","4 BHK Builder Floor in Shanti Niketan, Delhi",₹19.99 Cr,"3,600 sqft",4 BHK,19.99,3600.0,4.0,55528.0
"Shanti Niketan, Delhi, South Delhi","4 BHK Builder Floor in Shanti Niketan, Delhi",₹18 Cr,"3,600 sqft",4 BHK,18.0,3600.0,4.0,50000.0
"Shanti Niketan, Delhi, South Delhi","4 BHK Builder Floor in Shanti Niketan, Delhi",₹17.5 Cr,"3,600 sqft",4 BHK,17.5,3600.0,4.0,48611.0
"Hauz Khas Enclave, Delhi, South Delhi","4 BHK Builder Floor in Hauz Khas Enclave, Delhi",₹16 Cr,"4,509 sqft",4 BHK,16.0,4509.0,4.0,35485.0
"Hauz Khas Enclave, Delhi, South Delhi","4 BHK Builder Floor in Hauz Khas Enclave, Delhi",₹9.99 Cr,"2,700 sqft",4 BHK,9.99,2700.0,4.0,37000.0
"Anand Lok, Delhi, South Delhi","4 BHK Builder Floor in Anand Lok, Delhi",₹15 Cr,"3,600 sqft",4 BHK,15.0,3600.0,4.0,41667.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹23 Cr,"5,400 sqft",4 BHK,23.0,5400.0,4.0,42593.0
"Safdarjung Enclave, Delhi, South Delhi","4 BHK Triplex Builder Floor in Safdarjung Enclave, Delhi",₹8.21 Cr,"4,000 sqft",4 BHK,8.21,4000.0,4.0,20525.0
"Sarvpriya Vihar, Delhi, South Delhi","3 BHK Builder Floor in Sarvpriya Vihar, Delhi",₹7.35 Cr,"2,160 sqft",3 BHK,7.35,2160.0,3.0,34028.0
Godrej South Estate 4.0,"4 BHK Flat in Okhla, Delhi",₹8.65 Cr,"3,851 sqft",4 BHK,8.65,3851.0,4.0,22462.0
Dr Ambedkar Colony 3.5,"2 BHK Flat in Chattarpur, Delhi",₹60 Lac,828 sqft,2 BHK,0.6,828.0,2.0,7246.0
"Asola, Delhi, South Delhi","Residential land / Plot in Asola, Delhi",₹5.6 Cr,"11,439 sqft",Plot/Land,5.6,11439.0,,4896.0
"Safdarjung Enclave, Delhi, South Delhi","3 BHK Builder Floor in Safdarjung Enclave, Delhi",₹6 Cr,"1,800 sqft",3 BHK,6.0,1800.0,3.0,33333.0
DDA Flats,"3 BHK Flat in Saket, Delhi",₹4.25 Cr,"2,100 sqft",3 BHK,4.25,2100.0,3.0,20238.0
Brand New Builder Floor,"4 BHK Builder Floor in Saket, Delhi",₹6 Cr,"2,300 sqft",4 BHK,6.0,2300.0,4.0,26087.0
"Greater Kailash Enclave 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash Enclave 1, Delhi",₹6.95 Cr,"3,060 sqft",4 BHK,6.95,3060.0,4.0,22712.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹12.5 Cr,"3,600 sqft",4 BHK,12.5,3600.0,4.0,34722.0
"Chattarpur, Delhi, South Delhi","4 BHK Builder Floor in Chattarpur, Delhi",₹1.25 Cr,"4,500 sqft",4 BHK,1.25,4500.0,4.0,2778.0
"Safdarjung Development Area, Delhi, South Delhi","4 BHK Builder Floor in Safdarjung Development Area, Delhi",₹16.49 Cr,"4,050 sqft",4 BHK,16.49,4050.0,4.0,40716.0
"Anand Lok, Delhi, South Delhi","4 BHK Builder Floor in Anand Lok, Delhi",₹17.1 Cr,"3,600 sqft",4 BHK,17.1,3600.0,4.0,47500.0
"Block B 2 Safdarjung Enclave, Delhi, South Delhi","3 BHK Builder Floor in Block B 2 Safdarjung Enclave, Delhi",₹10 Cr,"2,250 sqft",3 BHK,10.0,2250.0,3.0,44444.0
Chirag Enclave 4.0,"4 BHK Builder Floor in Nehru Place, Delhi",₹19 Cr,"4,500 sqft",4 BHK,19.0,4500.0,4.0,42222.0
"Greater Kailash 3, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 3, Delhi",₹6.1 Cr,"1,953 sqft",3 BHK,6.1,1953.0,3.0,31234.0
"Panchsheel Enclave, Delhi, South Delhi","3 BHK Builder Floor in Panchsheel Enclave, Delhi",₹7 Cr,"2,430 sqft",3 BHK,7.0,2430.0,3.0,28807.0
Park Facing,"4 BHK Builder Floor in Nehru Enclave, Delhi",₹7.65 Cr,"2,700 sqft",4 BHK,7.65,2700.0,4.0,28333.0
"Saket, Delhi, South Delhi","4 BHK Builder Floor in Saket, Delhi",₹6.75 Cr,"2,700 sqft",4 BHK,6.75,2700.0,4.0,25000.0
"Vasant Vihar, Delhi, South Delhi","4 Bedroom House in Vasant Vihar, Delhi",₹90 Cr,"7,200 sqft",4 BHK,90.0,7200.0,4.0,125000.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹8.5 Cr,"4,500 sqft",4 BHK,8.5,4500.0,4.0,18889.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹35 Cr,"5,400 sqft",4 BHK,35.0,5400.0,4.0,64815.0
SUPER LUXURIOUS BRAND NEW FLOOR,"4 BHK Builder Floor in Greater Kailash 1, Delhi",₹8.15 Cr,"2,700 sqft",4 BHK,8.15,2700.0,4.0,30185.0
800 Yards Third Floor Terrace 4BHK Brand New,"4 BHK Builder Floor in Anand Lok, Delhi",₹33 Cr,"7,200 sqft",4 BHK,33.0,7200.0,4.0,45833.0
325 Yards Ground Floor 3BHK Lift,"3 BHK Builder Floor in Defence Colony, South Delhi",₹12.5 Cr,"2,925 sqft",3 BHK,12.5,2925.0,3.0,42735.0
400 Yards First Floor 4BHK New Park Facing,"4 BHK Builder Floor in Anand Lok, Delhi",₹16 Cr,"3,600 sqft",4 BHK,16.0,3600.0,4.0,44444.0
325 Yards Second Floor 3BHK Lift,"3 BHK Builder Floor in Defence Colony, South Delhi",₹11 Cr,"2,925 sqft",3 BHK,11.0,2925.0,3.0,37607.0
450 Yards Second Floor 4BHK Brand New,"4 BHK Builder Floor in Safdarjung Development Area, Delhi",₹15 Cr,"4,050 sqft",4 BHK,15.0,4050.0,4.0,37037.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹12 Cr,"2,520 sqft",4 BHK,12.0,2520.0,4.0,47619.0
250 Yards First Floor 3BHK Brand New,"3 BHK Builder Floor in Vasant Vihar, Delhi",₹10.5 Cr,"2,250 sqft",3 BHK,10.5,2250.0,3.0,46667.0
PARK FACING SECOND FLOOR,"4 BHK Builder Floor in Vasant Vihar, Delhi",₹34 Cr,"7,200 sqft",4 BHK,34.0,7200.0,4.0,47222.0
"Anand Lok, Delhi, South Delhi","4 BHK Builder Floor in Anand Lok, Delhi",₹15.5 Cr,"2,250 sqft",4 BHK,15.5,2250.0,4.0,68889.0
"Panchsheel Enclave, Delhi, South Delhi","5 Bedroom House in Panchsheel Enclave, Delhi",₹33.5 Cr,"2,385 sqft",5 BHK,33.5,2385.0,5.0,140461.0
"Safdarjung Enclave, Delhi, South Delhi","4 BHK Builder Floor in Safdarjung Enclave, Delhi",₹9.5 Cr,"2,200 sqft",4 BHK,9.5,2200.0,4.0,43182.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹8.35 Cr,"2,700 sqft",4 BHK,8.35,2700.0,4.0,30926.0
Luxury Floor Hauz Khas Enclave,"4 BHK Builder Floor in Hauz Khas Enclave, Delhi",₹14.5 Cr,"4,500 sqft",4 BHK,14.5,4500.0,4.0,32222.0
"East of Kailash, Delhi, South Delhi","3 BHK Builder Floor in East of Kailash, Delhi",₹5.25 Cr,"1,800 sqft",3 BHK,5.25,1800.0,3.0,29167.0
"Mandi, Delhi, South Delhi","3 BHK Builder Floor in Mandi, Delhi",₹78.24 Lac,"12,150 sqft",3 BHK,0.7824,12150.0,3.0,644.0
"Sultanpur Extension, Delhi, South Delhi","3 BHK Builder Floor in Sultanpur Extension, Delhi",₹95.89 Lac,"7,650 sqft",3 BHK,0.9589,7650.0,3.0,1253.0
"Chattarpur, Delhi, South Delhi","3 BHK Builder Floor in Chattarpur, Delhi",₹75 Lac,"1,250 sqft",3 BHK,0.75,1250.0,3.0,6000.0
Facing Park,"4 BHK Builder Floor in Anand Niketan, Delhi",₹17 Cr,"3,600 sqft",4 BHK,17.0,3600.0,4.0,47222.0
"Saket, Delhi, South Delhi","4 BHK Builder Floor in Saket, Delhi",₹6 Cr,"2,250 sqft",4 BHK,6.0,2250.0,4.0,26667.0
"Chattarpur, Delhi, South Delhi","5 Bedroom Farm house in Chattarpur, Delhi",₹17 Cr,"10,800 sqft",5 BHK,17.0,10800.0,5.0,15741.0
Godrej South Estate 4.0,"4 BHK Flat in Okhla Phase 1, Delhi",₹8.65 Cr,"3,851 sqft",4 BHK,8.65,3851.0,4.0,22462.0
"Chattarpur, Delhi, South Delhi","3 BHK Builder Floor in Chattarpur, Delhi",₹85 Lac,"1,250 sqft",3 BHK,0.85,1250.0,3.0,6800.0
"Chattarpur, Delhi, South Delhi","4 BHK Builder Floor in Chattarpur, Delhi",₹1.27 Cr,"1,750 sqft",4 BHK,1.27,1750.0,4.0,7257.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹30 Cr,"5,400 sqft",4 BHK,30.0,5400.0,4.0,55556.0
"Lajpat Nagar 1, Delhi, South Delhi","2 BHK Builder Floor in Lajpat Nagar 1, Delhi",₹2.5 Cr,900 sqft,2 BHK,2.5,900.0,2.0,27778.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹10.51 Cr,"2,700 sqft",4 BHK,10.51,2700.0,4.0,38926.0
"Paryavaran Complex, Delhi, South Delhi","1 BHK Builder Floor in Paryavaran Complex, Delhi",₹31 Lac,450 sqft,1 BHK,0.31,450.0,1.0,6889.0
"Safdarjung Enclave, Delhi, South Delhi","3 BHK Builder Floor in Safdarjung Enclave, Delhi",₹6.25 Cr,"18,000 sqft",3 BHK,6.25,18000.0,3.0,3472.0
Builder Floor Greater Kailash 1,"3 BHK Builder Floor in Greater Kailash 1, Delhi",₹8 Cr,"2,250 sqft",3 BHK,8.0,2250.0,3.0,35556.0
"Kailash Colony, Delhi, South Delhi","4 BHK Builder Floor in Kailash Colony, Delhi",₹6 Cr,"2,799 sqft",4 BHK,6.0,2799.0,4.0,21436.0
"Westend, Delhi, South Delhi","4 BHK Duplex Builder Floor in Westend, Delhi",₹35 Cr,"6,000 sqft",4 BHK,35.0,6000.0,4.0,58333.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹14 Cr,"4,500 sqft",4 BHK,14.0,4500.0,4.0,31111.0
"SDA, Delhi, South Delhi","4 BHK Triplex Builder Floor in SDA, Delhi",₹38 Cr,"5,000 sqft",4 BHK,38.0,5000.0,4.0,76000.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹7 Cr,"1,980 sqft",3 BHK,7.0,1980.0,3.0,35354.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Triplex Builder Floor in Panchsheel Park, Delhi",₹22 Cr,"2,700 sqft",4 BHK,22.0,2700.0,4.0,81481.0
"Hauz Khas, Delhi, South Delhi","4 BHK Builder Floor in Hauz Khas, Delhi",₹11 Cr,"2,700 sqft",4 BHK,11.0,2700.0,4.0,40741.0
"East of Kailash, Delhi, South Delhi","3 BHK Builder Floor in East of Kailash, Delhi",₹6 Cr,"1,980 sqft",3 BHK,6.0,1980.0,3.0,30303.0
"SDA, Delhi, South Delhi","4 BHK Duplex Builder Floor in SDA, Delhi",₹20 Cr,"3,000 sqft",4 BHK,20.0,3000.0,4.0,66667.0
"Sarvodaya Enclave, Delhi, South Delhi","4 BHK Duplex Builder Floor in Sarvodaya Enclave, Delhi",₹18 Cr,"2,700 sqft",4 BHK,18.0,2700.0,4.0,66667.0
"Gulmohar park, Delhi, South Delhi","4 BHK Builder Floor in Gulmohar park, Delhi",₹13.5 Cr,"2,700 sqft",4 BHK,13.5,2700.0,4.0,50000.0
"Greater Kailash enclave 2, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash enclave 2, Delhi",₹10 Cr,"2,250 sqft",3 BHK,10.0,2250.0,3.0,44444.0
"Green Park Extension, Delhi, South Delhi","4 BHK Builder Floor in Green Park Extension, Delhi",₹8.5 Cr,"2,700 sqft",4 BHK,8.5,2700.0,4.0,31481.0
East of Kailash Block B RWA,"4 BHK Duplex Builder Floor in East of Kailash, Delhi",₹5.51 Cr,"1,710 sqft",4 BHK,5.51,1710.0,4.0,32222.0
East of Kailash Block B RWA,"3 BHK Builder Floor in East of Kailash, Delhi",₹4.85 Cr,"1,800 sqft",3 BHK,4.85,1800.0,3.0,26944.0
East of Kailash Block B RWA,"3 BHK Builder Floor in East of Kailash, Delhi",₹4.75 Cr,"1,800 sqft",3 BHK,4.75,1800.0,3.0,26389.0
Top Floor,"3 BHK Builder Floor in Greater Kailash 2, Delhi",₹5.71 Cr,"2,250 sqft",3 BHK,5.71,2250.0,3.0,25378.0
Builder Floor Greater Kailash 1,"4 BHK Triplex Builder Floor in Greater Kailash 1, Delhi",₹21 Cr,"4,500 sqft",4 BHK,21.0,4500.0,4.0,46667.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹9.49 Cr,"2,700 sqft",4 BHK,9.49,2700.0,4.0,35148.0
Godrej Prima,"4 BHK Flat in Okhla Phase 2, Delhi",₹7.9 Cr,"3,851 sqft",4 BHK,7.9,3851.0,4.0,20514.0
Godrej South Estate 4.0,"4 BHK Flat in Okhla Phase 1, Delhi",₹8.35 Cr,"3,851 sqft",4 BHK,8.35,3851.0,4.0,21683.0
Godrej South Estate 4.0,"4 BHK Flat in Okhla, Delhi",₹8 Cr,"3,851 sqft",4 BHK,8.0,3851.0,4.0,20774.0
"Greater Kailash 2, Delhi, South Delhi","5 BHK Builder Floor in Greater Kailash 2, Delhi",₹14.5 Cr,"4,500 sqft",5 BHK,14.5,4500.0,5.0,32222.0
Godrej South Estate 4.0,"4 BHK Flat in Okhla, Delhi",₹7.65 Cr,"3,851 sqft",4 BHK,7.65,3851.0,4.0,19865.0
